sponsor_type,enrollment
Other,31
Other,25
Other,104
Other,55
Other,19
NIH,5
Other,126
Industry,69
Other,12
Industry,390
Other,7
Other,11
Industry,11
Industry,34
Industry,118
NIH,187
Other,463
Industry,100
Other,37
Other,53
Other,28
Industry,29
Industry,52
Other,307
Industry,52
Industry,80
Other,20
Industry,131
Other,287
Industry,23
Other,33
Industry,218
Industry,341
Industry,211
Other,48
Other,129
Industry,63
Industry,73
Industry,146
Industry,354
NIH,71
Other,245
Industry,73
Industry,25
Other,290
Industry,217
Industry,908
Industry,50
Industry,160
Industry,46
Industry,140
Other,39
Industry,23
NIH,30
Industry,13
Industry,93
Other,227
Industry,391
Industry,11
NIH,152
Other,672
NIH,80
Industry,95
Industry,16
Industry,58
Other,5
Other,90
NIH,33
Industry,62
Industry,170
Other,69
Other,26
Industry,927
Industry,33
Industry,267
Industry,1106
Industry,119
Other,177
Industry,27
Other,171
Industry,320
Other,17
Industry,39
Industry,151
Other,92
Other,442
Industry,22
Industry,39
NIH,5
Other,42
Industry,73
Industry,64
Other,50
Industry,19
Industry,30
Industry,50
Other,34
Industry,5
Industry,405
Industry,230
Industry,23
Other,354
Industry,300
Other,124
Industry,38
Other,475
Industry,61
Other,109
Industry,487
Industry,21
Industry,14
Industry,126
Industry,5
NIH,63
Industry,98
Other,42
Other,122
NIH,9
NIH,397
Industry,19
Industry,30
Other,150
Other,245
Industry,90
Other,41
Other,10
Other,21
Other,26
Industry,452
Industry,140
Industry,406
Industry,129
Industry,270
Other,45
Other,18
Other,109
Other,10
Industry,137
NIH,60
Industry,51
Other,23
Other,57
Industry,123
Other,54
Industry,16
Industry,12
Other,64
Industry,5
NIH,587
Industry,60
Industry,134
Other,232
Industry,230
Other,437
Industry,157
Industry,785
Other,31
Industry,21
Other,92
Industry,80
Industry,201
Industry,78
Other,6
Industry,55
Other,14
Other,148
Industry,5
Industry,153
Industry,49
Industry,17
Industry,23
Industry,24
Other,166
Industry,49
Industry,169
Other,10
Other,20
Other,49
NIH,680
Industry,46
Industry,203
Industry,401
NIH,7
NIH,129
Industry,111
Industry,10
Other,103
Other,44
Industry,167
Industry,25
Industry,128
Other,29
Industry,17
Other,203
Industry,23
Industry,561
Other,34
Industry,269
NIH,193
Industry,13
Industry,20
Other,86
Industry,285
Industry,24
Other,10
NIH,12
Industry,114
Other,25
NIH,79
Industry,6
Industry,5
Industry,252
Other,7
Industry,24
Other,1652
Other,6
Other,123
Industry,97
Other,68
Industry,26
Other,129
Industry,348
Other,494
Other,26
Industry,49
Other,43
Industry,38
Other,97
Industry,52
NIH,143
Industry,301
Industry,512
Other,17
Industry,5
Industry,54
Other,23
Industry,776
Industry,45
Industry,14
NIH,5
Other,209
Other,96
Industry,145
Industry,78
Industry,63
Other,5
Other,5
Industry,144
Industry,86
Other,179
Other,121
NIH,47
Industry,79
Other,182
Other,86
Industry,178
Industry,30
Industry,73
Industry,113
Other,270
NIH,269
Other,37
Industry,58
Industry,260
Other,28
Other,73
Industry,286
Industry,547
Industry,43
Industry,9
Industry,91
Other,424
Industry,29
Other,38
Industry,54
Other,245
Industry,396
Industry,86
Industry,37
NIH,20
Industry,103
Other,5
Industry,90
Other,67
Industry,182
Other,44
Other,26
Industry,21
Other,22
Industry,17
Other,50
Industry,86
NIH,108
Other,16
Industry,19
Industry,108
Industry,89
Industry,13
Other,202
Other,16
Other,57
Industry,20
Industry,68
Other,26
Industry,10
Industry,619
Industry,107
Industry,52
Other,5
Industry,127
NIH,24
Other,45
Industry,90
Other,91
Other,31
Industry,50
Industry,42
Other,290
Industry,72
Other,89
Other,74
Industry,167
Industry,205
Other,22
Industry,1959
NIH,72
Industry,29
Industry,33
Other,27
Industry,69
Industry,27
NIH,27
NIH,46
Other,132
Other,41
Industry,37
Other,12
Industry,32
Industry,23
Other,17
Industry,80
Industry,404
Industry,118
Other,18
Other,260
Industry,194
Industry,586
Industry,666
Industry,17
Industry,13
Industry,27
Industry,331
Industry,66
Industry,220
Industry,104
Industry,165
Industry,23
Industry,102
NIH,734
Other,21
NIH,212
Industry,321
Other,37
Other,5
Industry,56
Other,34
Industry,268
Industry,50
NIH,7
NIH,47
Other,1033
Industry,37
Industry,47
Other,19
Industry,2012
Industry,55
Other,32
Other,63
Industry,388
Other,5
Other,172
Industry,68
Industry,188
NIH,36
Other,139
NIH,256
Other,23
Industry,155
Industry,56
Industry,52
Industry,235
Industry,531
Other,180
Other,388
Industry,220
Industry,183
Industry,18
Industry,95
Other,5
Industry,208
Industry,165
Other,20
Industry,91
Other,26
Industry,220
Other,8
Other,180
Industry,168
Other,413
NIH,84
Industry,6
Industry,374
Other,64
Other,28
NIH,218
Industry,12
Other,27
Other,135
Industry,81
Industry,12
Industry,352
Other,1110
Other,180
Industry,649
Other,317
Industry,86
NIH,45
Other,156
Other,155
Other,48
Other,19
NIH,5
Other,1012
Industry,94
Industry,50
Industry,274
Industry,253
Other,95
Industry,516
Other,122
Other,479
Industry,5
NIH,11
Industry,10
Other,239
Industry,118
Other,118
Other,5
Industry,42
Industry,112
Industry,209
Other,5
Other,42
Industry,21
Industry,10
Other,8
Other,6
NIH,70
Other,53
Industry,26
Other,61
Industry,77
Industry,237
Other,9
Other,109
Industry,67
Industry,212
NIH,58
Industry,172
Other,96
Industry,10
Other,63
Industry,117
Industry,11
Other,359
Industry,117
Other,7
Other,328
Industry,124
Other,60
Industry,858
Industry,85
Industry,47
Other,85
Industry,2170
Industry,21
Industry,119
Other,93
Other,29
Industry,786
Industry,30
Industry,59
Other,7
Other,73
Industry,85
Industry,71
Other,111
Industry,19
Other,5
Industry,345
Industry,74
Industry,5
NIH,20
Industry,190
Industry,164
Industry,383
Other,44
Industry,75
Other,46
Industry,87
Other,16
Industry,269
NIH,160
Other,28
Industry,43
Other,222
Other,68
Other,153
Other,6
Other,90
Other,69
Industry,67
Other,54
Other,37
Other,81
Other,21
Industry,29
Industry,160
Industry,59
Industry,37
Industry,23
NIH,19
Industry,35
Industry,35
Other,17
Other,66
Industry,136
Industry,658
Industry,15
Other,513
Other,306
Industry,20
Industry,219
Industry,2987
Industry,70
Industry,108
NIH,1353
Industry,33
Industry,1195
Industry,293
Other,7
Industry,371
Industry,165
Industry,10
Other,63
Industry,112
Other,42
Other,22
NIH,80
Other,47
Industry,31
Other,153
Industry,94
Industry,83
Other,31
Other,42
Industry,50
NIH,12
Other,49
Industry,56
Other,162
Industry,84
Industry,47
Industry,67
Industry,21
Industry,127
Other,97
Industry,871
Industry,30
Other,36
Industry,13
Other,150
Industry,112
Other,30
Other,47
Other,56
Industry,39
Other,111
Industry,226
Industry,17
Industry,147
Industry,44
Industry,48
Other,507
Other,5
Industry,60
Other,276
Industry,63
Other,110
Industry,110
Other,19
Other,10
NIH,29
Other,9
Industry,66
Other,261
Other,126
Industry,86
Industry,313
Industry,37
Industry,67
Other,22
Industry,238
Other,399
Other,16
Other,499
Industry,36
Industry,43
NIH,241
Industry,33
Industry,94
Industry,562
Other,90
Industry,1113
Industry,256
Other,628
Industry,53
Other,7
Industry,256
Industry,170
Other,96
Other,7
Industry,56
Other,280
Industry,48
Industry,77
Industry,12
Other,5
Industry,25
Industry,37
Industry,183
Industry,291
Industry,35
Other,118
Other,6
Industry,36
Other,133
Industry,88
Other,76
Other,173
NIH,244
Other,96
Other,200
NIH,2027
Other,130
Industry,126
Industry,52
Other,27
Industry,123
Other,16
Other,308
Industry,23
Industry,61
Other,102
Industry,193
Industry,387
NIH,118
NIH,66
NIH,74
Other,96
Industry,101
Industry,654
Other,230
Industry,56
Industry,79
Industry,70
Other,14
NIH,10
Other,77
Industry,258
Other,68
Industry,46
Other,5
Other,44
Other,12
Other,204
Other,8
Other,44
Industry,47
NIH,19
Industry,11
Other,272
Other,23
NIH,109
Industry,116
Industry,80
Other,184
Industry,146
NIH,368
NIH,11
Industry,46
Industry,16
Industry,273
Other,69
Other,40
Other,15
Industry,119
Industry,125
Other,59
Industry,58
Industry,234
Industry,160
Industry,270
Industry,36
Industry,746
NIH,10
NIH,69
Industry,58
Industry,48
Industry,22
Industry,205
Industry,165
Industry,43
NIH,277
Industry,7
Industry,169
Other,193
Other,113
Industry,164
Industry,223
Industry,35
Industry,24
Industry,74
NIH,16
Industry,22
Industry,193
Other,57
NIH,144
Industry,21
Industry,314
Other,63
Industry,19
Other,172
Industry,198
Industry,262
Industry,71
Other,102
Other,5
Other,61
Industry,96
Other,17
Industry,47
Other,11
Other,34
Other,66
Industry,47
Industry,26
Industry,56
Industry,202
NIH,19
Other,14
Industry,55
Other,40
Other,22
Industry,34
Other,13
NIH,91
Industry,393
Industry,1417
NIH,154
Other,13
Industry,113
NIH,960
Other,134
Industry,49
Other,5
Other,93
Other,133
Industry,48
Industry,58
Industry,105
Industry,45
Industry,71
Other,132
Industry,74
Industry,669
NIH,50
Other,136
Industry,693
Industry,94
Other,20
Industry,62
Industry,158
Other,40
Industry,94
Other,157
Other,236
Industry,43
Industry,100
Other,9
Industry,68
Other,22
Industry,606
NIH,305
Other,5
Industry,183
Industry,88
Industry,745
Other,16
Industry,153
Other,695
Industry,43
Other,18
Industry,53
Other,185
Industry,74
Industry,73
Industry,92
NIH,32
Other,346
Industry,1821
Industry,21
Industry,128
Industry,118
Industry,115
Industry,123
Other,222
Industry,216
Other,50
Industry,127
Industry,29
Other,33
Other,5
Industry,314
Industry,212
Industry,21
Industry,38
NIH,32
Industry,14
Other,232
Industry,512
Industry,91
Industry,78
Industry,383
Industry,33
Industry,17
Industry,119
Other,93
Industry,141
Other,21
Other,7
Industry,610
NIH,104
Industry,632
Industry,101
Industry,309
Industry,142
NIH,33
Industry,3564
Industry,67
Industry,63
Other,26
Other,21
Other,41
Other,37
Industry,47
Industry,44
Industry,68
Other,31
Industry,85
Industry,55
Other,58
Other,9
Other,79
Industry,1110
Industry,677
Other,36
NIH,10
Industry,151
Industry,153
Industry,6
Other,27
Industry,63
Other,105
Industry,21
Industry,35
Industry,338
Industry,141
Other,252
Industry,340
Other,7
Other,126
NIH,51
Industry,131
Industry,77
Other,196
Other,326
Industry,22
Other,40
Industry,225
Other,11
NIH,36
Industry,25
Industry,152
Other,10
Industry,5
Industry,11
Other,70
Industry,98
Other,166
NIH,16
Other,18
Industry,137
Industry,166
Other,38
Industry,23
Industry,22
Other,25
Industry,26
Other,13
Industry,50
Other,10
Industry,43
Industry,37
Industry,296
Other,9
Industry,276
Industry,44
NIH,112
Other,15
Other,47
Other,97
Industry,303
Other,6
Other,13
Other,5
Other,109
Industry,122
Industry,49
NIH,5
NIH,34
Other,102
Other,98
Other,11
Industry,202
Industry,982
Industry,36
Other,24
Other,112
Industry,91
Industry,130
Industry,21
Other,30
Other,39
Industry,142
Other,170
Industry,150
Other,190
Industry,240
Industry,109
Industry,229
Industry,561
Industry,80
Industry,748
Industry,45
Industry,49
Other,48
NIH,106
Industry,88
Industry,313
Industry,51
NIH,364
Other,61
Industry,34
Other,534
Industry,410
Other,107
NIH,432
Other,24
Industry,56
Industry,240
Industry,173
Industry,215
NIH,110
Industry,113
NIH,34
Industry,149
NIH,643
Other,20
Other,199
Industry,25
Industry,84
Industry,88
Other,9
Industry,192
Other,16
Industry,101
Industry,143
Industry,98
Industry,306
Industry,23
Other,23
Other,233
Other,133
Industry,34
Industry,26
Industry,17
Industry,56
Industry,94
Industry,27
Other,10
NIH,68
Other,40
Industry,76
Other,57
Industry,114
Industry,20
Industry,47
Other,572
Industry,328
Industry,194
Industry,115
Industry,25
Industry,34
Industry,81
Industry,159
Industry,42
Industry,22
Industry,43
Industry,62
Other,25
Industry,45
Other,138
Other,388
Other,5
Industry,112
Industry,111
Other,94
NIH,223
Other,24
Industry,76
Industry,36
Other,25
Other,105
NIH,364
Other,30
Other,103
Other,36
Industry,19
Industry,390
Other,53
NIH,25
Other,74
Industry,114
Industry,1695
Industry,112
Other,15
Industry,52
Industry,65
Industry,132
Industry,200
Other,7
Industry,18
Industry,107
Other,19
Industry,267
Industry,123
Industry,31
Other,23
Other,63
Other,6
Other,116
Industry,295
Other,74
Other,428
Other,7
NIH,46
Industry,392
Industry,97
NIH,269
Other,29
Other,213
Industry,80
Industry,68
Other,5
Industry,56
Other,58
Other,76
Other,44
Other,38
NIH,23
Other,6
Other,162
Industry,164
Other,53
Industry,176
Industry,72
Industry,52
Other,66
Other,35
Industry,186
Industry,132
Industry,35
Industry,11
Other,61
NIH,42
Industry,20
Other,37
NIH,34
Other,77
NIH,9
Other,9
Other,182
Other,229
Other,5
NIH,5
Industry,24
Industry,306
Industry,2313
Other,28
Industry,195
Industry,377
Industry,173
Industry,84
Other,65
Other,427
Industry,66
Industry,84
Industry,47
Other,5
Other,96
Industry,1234
Other,415
Other,11
Other,33
Industry,14
Industry,97
NIH,32
Other,61
Industry,86
Industry,170
Industry,91
Industry,392
Industry,124
NIH,160
Industry,143
Other,38
Other,57
Industry,70
Industry,76
Industry,70
Industry,28
Other,50
Industry,47
Industry,10
Industry,24
Other,26
Industry,25
Industry,166
Industry,13
Other,75
Industry,22
Industry,259
Industry,16
Industry,64
Industry,27
Other,92
Industry,227
Industry,54
Other,57
NIH,343
Other,17
Other,63
Industry,51
NIH,14
Other,25
Industry,56
Other,188
NIH,31
Industry,166
Industry,432
Industry,371
Industry,37
NIH,96
Industry,134
Other,56
Other,83
Industry,31
Industry,420
Other,71
Industry,31
Other,83
Other,87
NIH,731
Other,53
Industry,255
Industry,1119
Other,406
Industry,111
Industry,105
Other,23
Other,55
Industry,357
Other,122
Other,19
Industry,826
Other,80
Other,10
Other,275
Industry,17
Industry,155
Industry,65
Industry,111
Industry,140
Other,73
Industry,172
Industry,211
Industry,43
Other,134
Industry,68
Industry,49
Industry,142
Industry,39
Other,38
Industry,32
Industry,99
Industry,181
Industry,80
Industry,72
Industry,83
Other,333
Industry,148
Industry,41
Industry,131
Other,43
Industry,21
Other,524
Other,23
Industry,518
Industry,198
Industry,107
Other,19
Industry,29
Other,17
Industry,1972
Industry,19
Other,248
Other,143
Industry,30
Industry,149
Other,12
NIH,212
Industry,1046
Industry,45
Other,6
NIH,203
Other,213
NIH,55
Other,29
Other,466
Industry,33
Other,42
NIH,47
Industry,25
Other,28
Industry,120
Industry,131
Other,93
Other,52
Industry,5
Other,13
Other,23
Other,690
NIH,69
Industry,240
Industry,64
Other,38
Other,12
Industry,65
Other,229
Industry,1358
Other,291
Industry,25
Other,187
Industry,2597
Other,148
Industry,19
Industry,39
Industry,249
Other,69
Industry,177
Other,466
Other,159
Other,18
Other,17
NIH,42
Other,24
Other,85
Industry,84
Industry,173
NIH,16
Industry,65
Industry,1176
Other,39
Industry,1794
Other,26
Other,6
Industry,58
Other,7
Other,19
Other,11
Industry,61
Industry,58
Other,58
Industry,970
Industry,21
Industry,65
Other,189
Industry,651
Industry,97
Industry,88
Industry,16
Industry,663
Industry,14
Industry,451
Other,46
Industry,46
Industry,30
NIH,159
Other,35
Industry,152
Industry,123
Industry,910
Other,25
Industry,252
Industry,1565
Industry,490
Industry,53
Industry,148
NIH,33
Other,346
Industry,35
Other,156
Industry,46
Other,75
Industry,47
Other,151
Other,5
Industry,597
Industry,38
Industry,48
Industry,46
NIH,76
Industry,281
Industry,131
Other,63
Other,134
Other,24
Industry,37
Industry,882
Other,589
Industry,85
Other,54
Other,382
Industry,33
Industry,587
Industry,63
Industry,153
Industry,43
Other,320
Industry,45
Industry,144
Industry,62
Industry,550
Industry,39
Other,15
Industry,181
Other,44
Other,15
Other,26
Other,241
Other,52
Industry,173
Other,58
Other,23
Other,31
Industry,35
Other,45
Other,80
Industry,240
Industry,79
Industry,15
Industry,31
Industry,533
Industry,59
Industry,131
Other,118
Industry,71
Industry,223
Other,163
Other,127
Other,69
Other,11
Other,57
Industry,98
Other,21
Industry,79
Industry,56
Industry,190
Industry,12
Other,516
Industry,36
Industry,501
NIH,6
Industry,45
NIH,81
Industry,69
Industry,71
Industry,773
NIH,12
Other,25
Other,14
Industry,1226
NIH,96
Industry,15
Industry,14
Industry,299
Industry,429
NIH,27
Other,41
Industry,111
Other,5
Other,313
Industry,290
Industry,33
Industry,164
Other,148
Other,34
Industry,88
Other,60
Industry,155
Industry,705
Other,38
Other,922
Industry,651
Industry,91
Other,29
NIH,130
Industry,36
Industry,549
Other,78
Other,19
Industry,136
Industry,28
Other,287
Other,125
Other,236
NIH,11
Other,16
Other,17
Other,198
Industry,33
Industry,114
Other,201
Industry,63
Industry,489
Industry,60
Industry,286
Industry,140
Industry,36
Industry,17
Industry,19
Industry,335
Industry,52
Industry,24
Other,14
Industry,165
Industry,108
Other,108
Other,62
Industry,1667
Industry,5
Other,145
Other,9
Industry,150
NIH,153
Industry,233
Other,53
Industry,44
Industry,2702
Other,758
Other,143
Industry,178
Industry,23
Other,68
Other,10
Industry,62
Industry,78
Industry,195
Industry,97
Other,473
Industry,186
Other,88
Industry,357
Industry,269
Industry,17
Other,68
Industry,108
Industry,218
Industry,442
Industry,256
Other,255
Industry,42
Other,87
Industry,343
Industry,265
NIH,36
Industry,6
NIH,5
Other,39
Other,51
Industry,10
Other,48
Other,1138
Industry,89
NIH,323
Other,32
Other,5
Industry,46
Industry,122
Industry,502
Other,900
Other,75
Industry,1085
Other,8
Industry,99
Other,396
Industry,46
Industry,73
NIH,43
Other,267
Industry,34
Other,81
Industry,31
Other,82
NIH,125
Industry,165
Other,35
Industry,76
Industry,39
Industry,21
Industry,49
NIH,111
Other,44
Other,30
Industry,166
Industry,131
Other,28
Other,32
Other,12
Other,65
NIH,88
Industry,45
Industry,256
Industry,93
Other,26
Industry,78
Industry,106
Industry,109
Other,30
Industry,46
NIH,13
Industry,45
Other,57
Industry,66
Other,33
NIH,21
Industry,80
Industry,544
NIH,6
NIH,10
Other,30
Industry,112
NIH,6
Industry,87
Other,55
Industry,193
Other,23
Other,34
Other,8
Industry,440
Industry,29
Other,45
Other,53
Other,195
Other,417
Other,307
Other,785
Other,61
Industry,12
Other,74
Other,50
NIH,728
Other,52
Other,9
Industry,50
Industry,305
Industry,127
Other,92
Industry,196
Industry,384
Industry,767
Industry,99
Other,60
Other,206
Other,69
Other,552
Industry,374
Other,78
Industry,439
Industry,358
Other,107
Industry,149
Other,75
Industry,66
Other,101
Industry,281
Industry,43
Industry,40
Industry,66
Other,21
Industry,13
Industry,169
Other,2632
Other,131
Industry,71
Industry,173
Other,13
NIH,370
Industry,43
Other,209
Industry,83
Industry,79
Industry,57
Other,27
Industry,19
Industry,63
NIH,20
Industry,152
Industry,101
Industry,293
Industry,179
Industry,24
Other,33
Other,103
Other,70
NIH,131
Industry,316
Other,174
Industry,40
Industry,75
NIH,325
Industry,108
Industry,481
Other,187
Industry,1771
Industry,542
Industry,48
Industry,455
Other,103
Industry,43
Other,141
Industry,536
NIH,50
Industry,219
Industry,79
Other,30
Other,676
NIH,61
Industry,73
Industry,162
Industry,63
Industry,5
Other,34
Other,269
NIH,5
Industry,17
Other,14
Industry,397
Other,15
Industry,161
Industry,123
NIH,255
Other,75
Industry,55
Industry,92
Industry,271
Industry,79
Other,99
NIH,24
Industry,216
Industry,60
Other,6
NIH,124
Other,22
Industry,16
Industry,134
Industry,137
Industry,49
Industry,100
Industry,202
Other,137
Other,17
Industry,353
Industry,58
Industry,128
Industry,61
Other,9
Industry,66
Other,180
Industry,55
Industry,779
Industry,7
Industry,12
Industry,16
Other,73
Other,89
Industry,177
Other,26
Industry,80
Other,111
Other,34
Industry,168
Other,43
Industry,520
Industry,91
Industry,42
Industry,75
Other,5
Other,5
NIH,848
Other,47
Industry,261
NIH,37
Industry,61
Other,98
Industry,93
Industry,163
Other,14
Other,399
Industry,69
Other,262
Other,152
Industry,143
Other,23
Other,22
Other,10
Other,14
Industry,68
Other,402
Industry,447
Industry,397
Industry,34
Industry,55
Industry,166
Industry,43
Other,34
Industry,147
Industry,11
Other,13
Industry,52
NIH,333
Other,76
Industry,47
Industry,16
Other,38
Industry,165
NIH,20
Other,124
Other,36
Other,50
Industry,20
Other,20
NIH,91
Other,616
Industry,29
Industry,250
Industry,21
Industry,578
Industry,1980
Industry,50
Other,22
Industry,78
Other,116
Industry,324
Industry,51
Industry,523
Other,81
Industry,62
Industry,82
Other,230
Other,832
Industry,47
Other,107
Industry,25
Industry,34
NIH,5
Other,13
Industry,81
Other,19
Other,45
NIH,27
Other,14
Industry,110
Industry,141
Other,129
Industry,965
Industry,153
Other,26
NIH,151
NIH,56
Other,5
Other,21
Industry,125
Industry,77
Other,20
Industry,316
Industry,31
Industry,159
Industry,456
Other,64
Industry,82
Industry,80
Other,21
Industry,26
Other,67
NIH,128
Other,250
Other,106
Industry,423
Other,154
Other,27
Industry,129
Other,31
Industry,31
Industry,29
Other,97
Industry,91
Other,50
Other,22
Industry,218
Industry,1073
Industry,79
Industry,339
Industry,251
Industry,416
Industry,238
Other,16
Other,41
Industry,17
Industry,847
Other,83
Industry,96
Industry,14
Industry,59
Industry,176
NIH,102
Industry,697
Industry,45
Industry,189
Other,191
NIH,28
Other,155
Industry,18
Other,7
Industry,193
Industry,83
Industry,42
Industry,48
Other,16
Industry,54
Other,295
Industry,63
Industry,278
Industry,1046
Other,98
Industry,127
Industry,465
Industry,691
Industry,132
Industry,119
Other,20
Other,39
Other,46
Other,58
Industry,107
Other,15
Industry,13
Other,65
Industry,314
Industry,131
Other,319
Other,573
Industry,96
Other,146
Industry,87
Industry,14
Other,36
Industry,47
Industry,91
Other,5
Other,160
Industry,55
Other,313
Other,87
Other,20
Industry,81
NIH,13
Industry,169
Other,15
Other,28
Other,63
Other,78
Other,8
Other,132
Industry,48
Other,100
Other,14
NIH,65
Other,180
Other,17
Other,183
Other,399
Industry,84
Other,24
Other,14
Other,8
Other,50
Industry,121
Other,180
Industry,382
Industry,19
Industry,483
Other,28
Industry,20
Industry,23
Other,310
Industry,31
Other,959
NIH,65
Industry,66
Industry,89
Other,131
Industry,285
Industry,95
Industry,93
Other,27
Other,25
Other,8
Other,82
Industry,37
Industry,208
Industry,84
Industry,231
Industry,10
Industry,30
Other,30
Other,80
Industry,27
Other,219
Industry,672
Industry,38
Industry,273
Industry,131
Industry,53
Industry,636
Industry,135
Other,6
Industry,50
Industry,586
NIH,46
Industry,5
NIH,77
Industry,24
Other,15
Industry,48
Industry,23
Other,50
Other,10
Industry,36
Industry,13
Industry,59
NIH,7
Other,222
Other,25
Industry,78
Industry,82
Industry,145
Other,24
Industry,149
Other,98
Other,217
Industry,7
Other,102
Industry,114
NIH,45
Other,50
Industry,113
Industry,36
Industry,23
Industry,104
Other,56
Industry,112
Other,18
Industry,193
Other,127
Other,61
Other,230
Other,481
Industry,106
Industry,31
Industry,15
Other,162
Industry,254
Industry,37
Industry,40
Industry,82
Other,31
Industry,215
Other,53
NIH,155
Industry,132
Other,134
Industry,139
Industry,76
NIH,144
Other,11
NIH,18
Other,91
Other,216
Other,308
Industry,75
Industry,91
Industry,86
Industry,43
Other,85
Other,116
Other,31
Industry,27
Other,56
NIH,5
Industry,878
Industry,30
Other,48
Industry,24
Industry,354
NIH,109
Industry,43
Industry,582
Other,51
NIH,61
Industry,39
Other,422
Industry,45
Industry,146
Industry,86
Industry,1479
Other,34
Other,85
Industry,17
Industry,121
Other,18
Industry,60
Industry,128
Industry,89
Other,230
Other,118
Other,166
Industry,38
Industry,102
Industry,366
Industry,73
NIH,28
NIH,48
Industry,55
Other,48
Other,12
Industry,144
Other,26
Industry,60
Other,246
Other,33
Other,102
Industry,346
Industry,169
Industry,23
Other,87
Other,38
Industry,97
Other,110
Industry,428
NIH,61
Other,9
Industry,60
Industry,25
NIH,36
Industry,243
Other,1406
Industry,47
Industry,47
Other,12
NIH,292
Industry,186
Industry,68
Other,139
Industry,177
Industry,42
Industry,102
Industry,84
NIH,386
NIH,153
Industry,290
Other,120
Industry,70
Industry,27
Industry,183
Other,22
Other,67
Industry,35
Industry,484
Industry,870
Industry,46
Industry,119
Industry,46
Industry,63
Other,42
Industry,17
Industry,25
Other,15
Other,47
NIH,107
Other,25
Industry,9
Industry,41
Other,497
Industry,13
Industry,139
Other,630
Other,295
Industry,48
Industry,64
Other,71
NIH,38
Other,204
Industry,245
Other,17
Industry,40
Industry,77
Other,21
Other,54
Other,72
Other,99
Industry,68
Industry,87
Industry,37
Industry,241
Other,47
Industry,14
Industry,50
Industry,171
Industry,91
Industry,27
Other,45
Other,18
Industry,180
Industry,229
Other,32
Industry,603
Other,36
Other,36
Industry,30
Industry,36
Industry,23
Other,94
Industry,223
Industry,34
Other,27
Other,30
Other,14
Industry,54
Other,716
Other,23
Industry,19
Industry,29
Industry,118
Other,58
Industry,245
Industry,784
Other,6
Industry,52
Other,55
Other,29
Industry,19
NIH,140
Other,18
Industry,256
Industry,64
Industry,254
Other,76
Industry,173
Industry,138
Industry,86
Other,15
Industry,145
Other,87
Industry,36
Industry,7
Industry,41
Other,63
Industry,110
Other,35
Industry,41
Industry,70
Other,254
Industry,1247
NIH,337
Other,173
Industry,61
Industry,55
Other,69
Other,48
Other,28
Industry,143
Industry,171
Other,29
Other,367
Industry,328
Other,55
Industry,212
Industry,97
Other,39
Industry,140
Industry,37
Other,5
Industry,140
Other,218
Other,31
NIH,13
Industry,151
Industry,29
Industry,10
Industry,291
Other,16
Industry,17
Other,17
Other,5
Other,12
Other,68
Other,59
Other,97
Industry,115
Industry,38
Industry,237
Other,40
NIH,683
Other,10
Other,124
NIH,77
NIH,87
Other,46
Industry,186
Industry,153
Other,434
Industry,317
Industry,291
Industry,44
Other,5
Other,70
Other,69
NIH,7
Industry,869
Industry,24
Industry,107
Other,122
Industry,78
Other,129
Industry,83
Industry,119
Industry,18
Industry,132
Industry,17
Other,52
Industry,73
Other,49
Other,31
Industry,406
Other,42
NIH,202
Other,22
Industry,24
Industry,55
Industry,7
Industry,79
Industry,131
Industry,70
Industry,248
Other,72
Other,36
Industry,355
Other,40
NIH,5
Industry,444
Industry,82
NIH,10
Industry,55
Industry,55
Industry,252
Other,58
Other,27
NIH,268
Other,148
Industry,48
Industry,92
Industry,65
Other,27
Industry,42
Industry,57
Industry,235
Industry,575
Industry,8
Industry,58
NIH,85
Other,103
Other,61
Other,78
Industry,19
Industry,408
Other,128
Other,257
Industry,399
Industry,57
Industry,93
NIH,65
Industry,1204
Industry,230
Other,5
Industry,71
Industry,11
Industry,46
Industry,301
Other,9
NIH,20
Other,77
Other,103
Industry,75
Industry,797
Other,88
Industry,17
Other,248
Industry,14
Industry,17
Industry,117
Other,43
Other,72
Industry,250
Industry,135
Other,125
Industry,78
Industry,475
Industry,60
Industry,14
Other,90
Other,195
Other,250
Other,399
Other,5
Other,8
Industry,54
NIH,358
Other,50
Industry,20
Industry,55
Other,347
Other,31
Industry,98
Industry,143
Other,87
Other,13
Industry,22
Other,26
Other,71
Other,40
Other,13
Industry,70
Industry,356
Industry,53
Other,63
NIH,36
Other,60
Other,15
Other,23
Other,14
Industry,51
Industry,31
Other,188
Industry,55
Other,194
Industry,122
Industry,144
Industry,925
Other,79
Industry,295
Industry,163
Industry,25
Other,379
Industry,65
Industry,16
Other,112
Industry,65
Industry,22
Other,71
Industry,46
Other,52
Other,367
Other,186
Other,35
Industry,423
Industry,82
Industry,14
Industry,112
Industry,61
Industry,11
Other,22
Other,63
Other,40
Industry,31
NIH,1210
Other,54
Industry,41
Industry,125
Industry,101
Other,57
Industry,21
Other,21
Other,26
Industry,145
Industry,37
Industry,225
Industry,12
Other,34
Other,13
Industry,533
Other,21
Other,15
Industry,425
NIH,240
Industry,68
Industry,307
Industry,1860
NIH,17
Other,47
Industry,323
Other,73
Industry,44
Other,67
Industry,80
Other,385
Industry,174
Industry,84
Industry,123
Industry,122
Industry,28
Industry,190
NIH,34
Other,148
Industry,515
Industry,18
Industry,29
Industry,30
Industry,654
