nct_id,primary_condition
NCT100001782,Obesity
NCT100001783,Major Depressive Disorder
NCT100001784,Alzheimer's Disease
NCT100001785,Multiple Sclerosis
NCT100001786,Non-Small Cell Lung Cancer
NCT100001787,Type 2 Diabetes Mellitus
NCT100001788,Major Depressive Disorder
NCT100001789,Breast Cancer
NCT100001790,Migraine
NCT100001791,Migraine
NCT100001792,Alzheimer's Disease
NCT100001793,Chronic Kidney Disease
NCT100001794,Alzheimer's Disease
NCT100001795,Rheumatoid Arthritis
NCT100001796,Obesity
NCT100001797,Osteoarthritis
NCT100001798,Obesity
NCT100001799,Osteoarthritis
NCT100001800,Parkinson's Disease
NCT100001801,Parkinson's Disease
NCT100001802,Alzheimer's Disease
NCT100001803,Osteoarthritis
NCT100001804,Major Depressive Disorder
NCT100001805,Schizophrenia
NCT100001806,Parkinson's Disease
NCT100001807,Osteoarthritis
NCT100001808,Parkinson's Disease
NCT100001809,Ulcerative Colitis
NCT100001810,Hypertension
NCT100001811,Chronic Obstructive Pulmonary Disease
NCT100001812,Ulcerative Colitis
NCT100001813,Major Depressive Disorder
NCT100001814,Multiple Sclerosis
NCT100001815,Chronic Obstructive Pulmonary Disease
NCT100001816,HIV Infections
NCT100001817,Parkinson's Disease
NCT100001818,Breast Cancer
NCT100001819,HIV Infections
NCT100001820,Breast Cancer
NCT100001821,Coronary Artery Disease
NCT100001822,Chronic Obstructive Pulmonary Disease
NCT100001823,Osteoarthritis
NCT100001824,Osteoarthritis
NCT100001825,Parkinson's Disease
NCT100001826,Schizophrenia
NCT100001827,HIV Infections
NCT100001828,Migraine
NCT100001829,Ulcerative Colitis
NCT100001830,Non-Small Cell Lung Cancer
NCT100001831,Obesity
NCT100001832,Psoriasis
NCT100001833,Asthma
NCT100001834,Breast Cancer
NCT100001835,Breast Cancer
NCT100001836,Non-Small Cell Lung Cancer
NCT100001837,Parkinson's Disease
NCT100001838,Major Depressive Disorder
NCT100001839,Asthma
NCT100001840,Type 2 Diabetes Mellitus
NCT100001841,Breast Cancer
NCT100001842,Osteoarthritis
NCT100001843,Type 2 Diabetes Mellitus
NCT100001844,Asthma
NCT100001845,Breast Cancer
NCT100001846,Hypertension
NCT100001847,Hypertension
NCT100001848,Breast Cancer
NCT100001849,Coronary Artery Disease
NCT100001850,Multiple Sclerosis
NCT100001851,Coronary Artery Disease
NCT100001852,Psoriasis
NCT100001853,Type 2 Diabetes Mellitus
NCT100001854,Coronary Artery Disease
NCT100001855,Hypertension
NCT100001856,Ulcerative Colitis
NCT100001857,Type 2 Diabetes Mellitus
NCT100001858,Parkinson's Disease
NCT100001859,HIV Infections
NCT100001860,Osteoarthritis
NCT100001861,Psoriasis
NCT100001862,Alzheimer's Disease
NCT100001863,Asthma
NCT100001864,Chronic Obstructive Pulmonary Disease
NCT100001865,Rheumatoid Arthritis
NCT100001866,Chronic Obstructive Pulmonary Disease
NCT100001867,Alzheimer's Disease
NCT100001868,Psoriasis
NCT100001869,Chronic Kidney Disease
NCT100001870,Chronic Kidney Disease
NCT100001871,Psoriasis
NCT100001872,Asthma
NCT100001873,Chronic Kidney Disease
NCT100001874,Coronary Artery Disease
NCT100001875,Coronary Artery Disease
NCT100001876,Chronic Kidney Disease
NCT100001877,Major Depressive Disorder
NCT100001878,Osteoarthritis
NCT100001879,Chronic Kidney Disease
NCT100001880,HIV Infections
NCT100001881,Major Depressive Disorder
NCT100001882,Osteoarthritis
NCT100001883,HIV Infections
NCT100001884,Schizophrenia
NCT100001885,Breast Cancer
NCT100001886,Type 2 Diabetes Mellitus
NCT100001887,Asthma
NCT100001888,Non-Small Cell Lung Cancer
NCT100001889,Osteoarthritis
NCT100001890,Major Depressive Disorder
NCT100001891,Chronic Kidney Disease
NCT100001892,Hypertension
NCT100001893,Migraine
NCT100001894,Obesity
NCT100001895,Chronic Kidney Disease
NCT100001896,Obesity
NCT100001897,Alzheimer's Disease
NCT100001898,Schizophrenia
NCT100001899,Parkinson's Disease
NCT100001900,Rheumatoid Arthritis
NCT100001901,Non-Small Cell Lung Cancer
NCT100001902,Psoriasis
NCT100001903,Multiple Sclerosis
NCT100001904,Psoriasis
NCT100001905,Migraine
NCT100001906,Chronic Obstructive Pulmonary Disease
NCT100001907,Chronic Kidney Disease
NCT100001908,Psoriasis
NCT100001909,Multiple Sclerosis
NCT100001910,Coronary Artery Disease
NCT100001911,Multiple Sclerosis
NCT100001912,Obesity
NCT100001913,Schizophrenia
NCT100001914,Breast Cancer
NCT100001915,Psoriasis
NCT100001916,Chronic Obstructive Pulmonary Disease
NCT100001917,Chronic Obstructive Pulmonary Disease
NCT100001918,HIV Infections
NCT100001919,Ulcerative Colitis
NCT100001920,Breast Cancer
NCT100001921,Non-Small Cell Lung Cancer
NCT100001922,HIV Infections
NCT100001923,Psoriasis
NCT100001924,Major Depressive Disorder
NCT100001925,Psoriasis
NCT100001926,Major Depressive Disorder
NCT100001927,Alzheimer's Disease
NCT100001928,Non-Small Cell Lung Cancer
NCT100001929,Alzheimer's Disease
NCT100001930,Asthma
NCT100001931,Rheumatoid Arthritis
NCT100001932,Chronic Obstructive Pulmonary Disease
NCT100001933,Ulcerative Colitis
NCT100001934,Ulcerative Colitis
NCT100001935,Ulcerative Colitis
NCT100001936,Coronary Artery Disease
NCT100001937,Chronic Obstructive Pulmonary Disease
NCT100001938,Ulcerative Colitis
NCT100001939,Multiple Sclerosis
NCT100001940,Hypertension
NCT100001941,Asthma
NCT100001942,Asthma
NCT100001943,Hypertension
NCT100001944,Osteoarthritis
NCT100001945,Hypertension
NCT100001946,Osteoarthritis
NCT100001947,Major Depressive Disorder
NCT100001948,Schizophrenia
NCT100001949,Asthma
NCT100001950,Migraine
NCT100001951,Major Depressive Disorder
NCT100001952,Asthma
NCT100001953,Migraine
NCT100001954,Ulcerative Colitis
NCT100001955,Schizophrenia
NCT100001956,Asthma
NCT100001957,Obesity
NCT100001958,Coronary Artery Disease
NCT100001959,Osteoarthritis
NCT100001960,Obesity
NCT100001961,Chronic Obstructive Pulmonary Disease
NCT100001962,Obesity
NCT100001963,Schizophrenia
NCT100001964,Parkinson's Disease
NCT100001965,Chronic Kidney Disease
NCT100001966,Multiple Sclerosis
NCT100001967,Hypertension
NCT100001968,Osteoarthritis
NCT100001969,Non-Small Cell Lung Cancer
NCT100001970,Hypertension
NCT100001971,Asthma
NCT100001972,Non-Small Cell Lung Cancer
NCT100001973,Ulcerative Colitis
NCT100001974,Ulcerative Colitis
NCT100001975,Hypertension
NCT100001976,Hypertension
NCT100001977,Obesity
NCT100001978,Multiple Sclerosis
NCT100001979,Obesity
NCT100001980,Alzheimer's Disease
NCT100001981,Multiple Sclerosis
NCT100001982,Osteoarthritis
NCT100001983,Type 2 Diabetes Mellitus
NCT100001984,Alzheimer's Disease
NCT100001985,Chronic Obstructive Pulmonary Disease
NCT100001986,Chronic Obstructive Pulmonary Disease
NCT100001987,Osteoarthritis
NCT100001988,Asthma
NCT100001989,Multiple Sclerosis
NCT100001990,Non-Small Cell Lung Cancer
NCT100001991,Chronic Kidney Disease
NCT100001992,Coronary Artery Disease
NCT100001993,Non-Small Cell Lung Cancer
NCT100001994,Rheumatoid Arthritis
NCT100001995,Coronary Artery Disease
NCT100001996,Rheumatoid Arthritis
NCT100001997,Chronic Kidney Disease
NCT100001998,Breast Cancer
NCT100001999,Type 2 Diabetes Mellitus
NCT100002000,Alzheimer's Disease
NCT100002001,Obesity
NCT100002002,Breast Cancer
NCT100002003,Psoriasis
NCT100002004,Ulcerative Colitis
NCT100002005,Chronic Kidney Disease
NCT100002006,Coronary Artery Disease
NCT100002007,Non-Small Cell Lung Cancer
NCT100002008,Type 2 Diabetes Mellitus
NCT100002009,Breast Cancer
NCT100002010,Parkinson's Disease
NCT100002011,Chronic Obstructive Pulmonary Disease
NCT100002012,Ulcerative Colitis
NCT100002013,Parkinson's Disease
NCT100002014,Non-Small Cell Lung Cancer
NCT100002015,Alzheimer's Disease
NCT100002016,Psoriasis
NCT100002017,Ulcerative Colitis
NCT100002018,Alzheimer's Disease
NCT100002019,Ulcerative Colitis
NCT100002020,Ulcerative Colitis
NCT100002021,Alzheimer's Disease
NCT100002022,Chronic Kidney Disease
NCT100002023,Rheumatoid Arthritis
NCT100002024,Coronary Artery Disease
NCT100002025,Obesity
NCT100002026,Asthma
NCT100002027,Non-Small Cell Lung Cancer
NCT100002028,Rheumatoid Arthritis
NCT100002029,Coronary Artery Disease
NCT100002030,Coronary Artery Disease
NCT100002031,Multiple Sclerosis
NCT100002032,Asthma
NCT100002033,Ulcerative Colitis
NCT100002034,Alzheimer's Disease
NCT100002035,Non-Small Cell Lung Cancer
NCT100002036,Obesity
NCT100002037,Parkinson's Disease
NCT100002038,Parkinson's Disease
NCT100002039,Chronic Kidney Disease
NCT100002040,Major Depressive Disorder
NCT100002041,Obesity
NCT100002042,Type 2 Diabetes Mellitus
NCT100002043,Chronic Obstructive Pulmonary Disease
NCT100002044,HIV Infections
NCT100002045,Type 2 Diabetes Mellitus
NCT100002046,Chronic Obstructive Pulmonary Disease
NCT100002047,Asthma
NCT100002048,Alzheimer's Disease
NCT100002049,Schizophrenia
NCT100002050,Parkinson's Disease
NCT100002051,Multiple Sclerosis
NCT100002052,Migraine
NCT100002053,Schizophrenia
NCT100002054,Migraine
NCT100002055,Coronary Artery Disease
NCT100002056,Rheumatoid Arthritis
NCT100002057,Alzheimer's Disease
NCT100002058,Schizophrenia
NCT100002059,Ulcerative Colitis
NCT100002060,Psoriasis
NCT100002061,Psoriasis
NCT100002062,Migraine
NCT100002063,Migraine
NCT100002064,Migraine
NCT100002065,Osteoarthritis
NCT100002066,Type 2 Diabetes Mellitus
NCT100002067,Hypertension
NCT100002068,Obesity
NCT100002069,Coronary Artery Disease
NCT100002070,Rheumatoid Arthritis
NCT100002071,Major Depressive Disorder
NCT100002072,Chronic Obstructive Pulmonary Disease
NCT100002073,Parkinson's Disease
NCT100002074,Chronic Kidney Disease
NCT100002075,Coronary Artery Disease
NCT100002076,Non-Small Cell Lung Cancer
NCT100002077,HIV Infections
NCT100002078,Migraine
NCT100002079,Multiple Sclerosis
NCT100002080,Hypertension
NCT100002081,Psoriasis
NCT100002082,HIV Infections
NCT100002083,HIV Infections
NCT100002084,Coronary Artery Disease
NCT100002085,Parkinson's Disease
NCT100002086,Chronic Kidney Disease
NCT100002087,Psoriasis
NCT100002088,Type 2 Diabetes Mellitus
NCT100002089,Osteoarthritis
NCT100002090,Migraine
NCT100002091,HIV Infections
NCT100002092,Hypertension
NCT100002093,Coronary Artery Disease
NCT100002094,Type 2 Diabetes Mellitus
NCT100002095,Migraine
NCT100002096,Psoriasis
NCT100002097,Ulcerative Colitis
NCT100002098,Asthma
NCT100002099,Osteoarthritis
NCT100002100,Major Depressive Disorder
NCT100002101,Chronic Kidney Disease
NCT100002102,Non-Small Cell Lung Cancer
NCT100002103,Non-Small Cell Lung Cancer
NCT100002104,Chronic Obstructive Pulmonary Disease
NCT100002105,Type 2 Diabetes Mellitus
NCT100002106,Parkinson's Disease
NCT100002107,Chronic Kidney Disease
NCT100002108,Major Depressive Disorder
NCT100002109,Parkinson's Disease
NCT100002110,Alzheimer's Disease
NCT100002111,Alzheimer's Disease
NCT100002112,Ulcerative Colitis
NCT100002113,Multiple Sclerosis
NCT100002114,Coronary Artery Disease
NCT100002115,HIV Infections
NCT100002116,Asthma
NCT100002117,Ulcerative Colitis
NCT100002118,Rheumatoid Arthritis
NCT100002119,Chronic Kidney Disease
NCT100002120,Migraine
NCT100002121,Coronary Artery Disease
NCT100002122,HIV Infections
NCT100002123,Coronary Artery Disease
NCT100002124,Psoriasis
NCT100002125,Migraine
NCT100002126,Obesity
NCT100002127,Chronic Kidney Disease
NCT100002128,Chronic Obstructive Pulmonary Disease
NCT100002129,Migraine
NCT100002130,HIV Infections
NCT100002131,Chronic Obstructive Pulmonary Disease
NCT100002132,Obesity
NCT100002133,Osteoarthritis
NCT100002134,Multiple Sclerosis
NCT100002135,Schizophrenia
NCT100002136,Hypertension
NCT100002137,Psoriasis
NCT100002138,Multiple Sclerosis
NCT100002139,Coronary Artery Disease
NCT100002140,Major Depressive Disorder
NCT100002141,Non-Small Cell Lung Cancer
NCT100002142,Type 2 Diabetes Mellitus
NCT100002143,Osteoarthritis
NCT100002144,Osteoarthritis
NCT100002145,Chronic Kidney Disease
NCT100002146,Multiple Sclerosis
NCT100002147,Obesity
NCT100002148,Breast Cancer
NCT100002149,Obesity
NCT100002150,Hypertension
NCT100002151,Osteoarthritis
NCT100002152,Non-Small Cell Lung Cancer
NCT100002153,Multiple Sclerosis
NCT100002154,Non-Small Cell Lung Cancer
NCT100002155,Ulcerative Colitis
NCT100002156,Hypertension
NCT100002157,Breast Cancer
NCT100002158,HIV Infections
NCT100002159,Rheumatoid Arthritis
NCT100002160,Hypertension
NCT100002161,Multiple Sclerosis
NCT100002162,Schizophrenia
NCT100002163,Ulcerative Colitis
NCT100002164,Osteoarthritis
NCT100002165,Alzheimer's Disease
NCT100002166,Coronary Artery Disease
NCT100002167,Non-Small Cell Lung Cancer
NCT100002168,Type 2 Diabetes Mellitus
NCT100002169,HIV Infections
NCT100002170,Psoriasis
NCT100002171,Coronary Artery Disease
NCT100002172,Asthma
NCT100002173,Chronic Kidney Disease
NCT100002174,Chronic Kidney Disease
NCT100002175,Rheumatoid Arthritis
NCT100002176,Asthma
NCT100002177,Breast Cancer
NCT100002178,Chronic Obstructive Pulmonary Disease
NCT100002179,Type 2 Diabetes Mellitus
NCT100002180,Coronary Artery Disease
NCT100002181,Breast Cancer
NCT100002182,Obesity
NCT100002183,Rheumatoid Arthritis
NCT100002184,Chronic Obstructive Pulmonary Disease
NCT100002185,Parkinson's Disease
NCT100002186,Multiple Sclerosis
NCT100002187,Parkinson's Disease
NCT100002188,Schizophrenia
NCT100002189,HIV Infections
NCT100002190,Type 2 Diabetes Mellitus
NCT100002191,Parkinson's Disease
NCT100002192,Migraine
NCT100002193,Coronary Artery Disease
NCT100002194,Chronic Kidney Disease
NCT100002195,Coronary Artery Disease
NCT100002196,Rheumatoid Arthritis
NCT100002197,Major Depressive Disorder
NCT100002198,Rheumatoid Arthritis
NCT100002199,Psoriasis
NCT100002200,Multiple Sclerosis
NCT100002201,Osteoarthritis
NCT100002202,Rheumatoid Arthritis
NCT100002203,Alzheimer's Disease
NCT100002204,Hypertension
NCT100002205,Rheumatoid Arthritis
NCT100002206,Non-Small Cell Lung Cancer
NCT100002207,Alzheimer's Disease
NCT100002208,Rheumatoid Arthritis
NCT100002209,Coronary Artery Disease
NCT100002210,Chronic Obstructive Pulmonary Disease
NCT100002211,Hypertension
NCT100002212,Rheumatoid Arthritis
NCT100002213,Psoriasis
NCT100002214,Chronic Obstructive Pulmonary Disease
NCT100002215,HIV Infections
NCT100002216,Major Depressive Disorder
NCT100002217,Osteoarthritis
NCT100002218,Coronary Artery Disease
NCT100002219,Breast Cancer
NCT100002220,Chronic Kidney Disease
NCT100002221,Parkinson's Disease
NCT100002222,Alzheimer's Disease
NCT100002223,Breast Cancer
NCT100002224,Asthma
NCT100002225,Psoriasis
NCT100002226,Coronary Artery Disease
NCT100002227,Breast Cancer
NCT100002228,Alzheimer's Disease
NCT100002229,Osteoarthritis
NCT100002230,Chronic Kidney Disease
NCT100002231,Breast Cancer
NCT100002232,Coronary Artery Disease
NCT100002233,HIV Infections
NCT100002234,Obesity
NCT100002235,Psoriasis
NCT100002236,Psoriasis
NCT100002237,Asthma
NCT100002238,Parkinson's Disease
NCT100002239,Rheumatoid Arthritis
NCT100002240,Asthma
NCT100002241,Migraine
NCT100002242,Chronic Obstructive Pulmonary Disease
NCT100002243,Migraine
NCT100002244,Alzheimer's Disease
NCT100002245,Ulcerative Colitis
NCT100002246,HIV Infections
NCT100002247,Ulcerative Colitis
NCT100002248,Alzheimer's Disease
NCT100002249,Breast Cancer
NCT100002250,Non-Small Cell Lung Cancer
NCT100002251,Schizophrenia
NCT100002252,Parkinson's Disease
NCT100002253,Non-Small Cell Lung Cancer
NCT100002254,Obesity
NCT100002255,Chronic Kidney Disease
NCT100002256,Major Depressive Disorder
NCT100002257,Coronary Artery Disease
NCT100002258,Breast Cancer
NCT100002259,HIV Infections
NCT100002260,Type 2 Diabetes Mellitus
NCT100002261,Asthma
NCT100002262,Hypertension
NCT100002263,Asthma
NCT100002264,Parkinson's Disease
NCT100002265,Rheumatoid Arthritis
NCT100002266,Psoriasis
NCT100002267,Migraine
NCT100002268,Hypertension
NCT100002269,Alzheimer's Disease
NCT100002270,Asthma
NCT100002271,Parkinson's Disease
NCT100002272,Type 2 Diabetes Mellitus
NCT100002273,Psoriasis
NCT100002274,Ulcerative Colitis
NCT100002275,Chronic Obstructive Pulmonary Disease
NCT100002276,Migraine
NCT100002277,Hypertension
NCT100002278,Obesity
NCT100002279,Obesity
NCT100002280,Psoriasis
NCT100002281,Ulcerative Colitis
NCT100002282,Ulcerative Colitis
NCT100002283,Migraine
NCT100002284,Non-Small Cell Lung Cancer
NCT100002285,Migraine
NCT100002286,Chronic Kidney Disease
NCT100002287,Schizophrenia
NCT100002288,Schizophrenia
NCT100002289,Schizophrenia
NCT100002290,Psoriasis
NCT100002291,Non-Small Cell Lung Cancer
NCT100002292,Rheumatoid Arthritis
NCT100002293,HIV Infections
NCT100002294,Chronic Obstructive Pulmonary Disease
NCT100002295,Non-Small Cell Lung Cancer
NCT100002296,Non-Small Cell Lung Cancer
NCT100002297,Non-Small Cell Lung Cancer
NCT100002298,Ulcerative Colitis
NCT100002299,Schizophrenia
NCT100002300,Type 2 Diabetes Mellitus
NCT100002301,Major Depressive Disorder
NCT100002302,Breast Cancer
NCT100002303,Alzheimer's Disease
NCT100002304,Alzheimer's Disease
NCT100002305,Chronic Kidney Disease
NCT100002306,Schizophrenia
NCT100002307,Obesity
NCT100002308,Non-Small Cell Lung Cancer
NCT100002309,HIV Infections
NCT100002310,Chronic Kidney Disease
NCT100002311,Parkinson's Disease
NCT100002312,Schizophrenia
NCT100002313,Schizophrenia
NCT100002314,Alzheimer's Disease
NCT100002315,Osteoarthritis
NCT100002316,Breast Cancer
NCT100002317,Psoriasis
NCT100002318,Alzheimer's Disease
NCT100002319,Chronic Kidney Disease
NCT100002320,Migraine
NCT100002321,Rheumatoid Arthritis
NCT100002322,Asthma
NCT100002323,Asthma
NCT100002324,Chronic Obstructive Pulmonary Disease
NCT100002325,Asthma
NCT100002326,Migraine
NCT100002327,Ulcerative Colitis
NCT100002328,Rheumatoid Arthritis
NCT100002329,Non-Small Cell Lung Cancer
NCT100002330,Schizophrenia
NCT100002331,Ulcerative Colitis
NCT100002332,Ulcerative Colitis
NCT100002333,Chronic Kidney Disease
NCT100002334,Rheumatoid Arthritis
NCT100002335,Obesity
NCT100002336,Breast Cancer
NCT100002337,Rheumatoid Arthritis
NCT100002338,Chronic Kidney Disease
NCT100002339,Type 2 Diabetes Mellitus
NCT100002340,Type 2 Diabetes Mellitus
NCT100002341,Coronary Artery Disease
NCT100002342,Multiple Sclerosis
NCT100002343,Migraine
NCT100002344,HIV Infections
NCT100002345,Psoriasis
NCT100002346,Obesity
NCT100002347,Rheumatoid Arthritis
NCT100002348,Non-Small Cell Lung Cancer
NCT100002349,Alzheimer's Disease
NCT100002350,Chronic Obstructive Pulmonary Disease
NCT100002351,Chronic Obstructive Pulmonary Disease
NCT100002352,Hypertension
NCT100002353,HIV Infections
NCT100002354,Non-Small Cell Lung Cancer
NCT100002355,Multiple Sclerosis
NCT100002356,Schizophrenia
NCT100002357,Coronary Artery Disease
NCT100002358,Rheumatoid Arthritis
NCT100002359,Rheumatoid Arthritis
NCT100002360,Obesity
NCT100002361,Hypertension
NCT100002362,Multiple Sclerosis
NCT100002363,Chronic Kidney Disease
NCT100002364,Schizophrenia
NCT100002365,Breast Cancer
NCT100002366,Type 2 Diabetes Mellitus
NCT100002367,Psoriasis
NCT100002368,Osteoarthritis
NCT100002369,Chronic Kidney Disease
NCT100002370,Schizophrenia
NCT100002371,Ulcerative Colitis
NCT100002372,Multiple Sclerosis
NCT100002373,Coronary Artery Disease
NCT100002374,Chronic Obstructive Pulmonary Disease
NCT100002375,Major Depressive Disorder
NCT100002376,Multiple Sclerosis
NCT100002377,Migraine
NCT100002378,Psoriasis
NCT100002379,Parkinson's Disease
NCT100002380,Multiple Sclerosis
NCT100002381,Asthma
NCT100002382,Multiple Sclerosis
NCT100002383,Non-Small Cell Lung Cancer
NCT100002384,Psoriasis
NCT100002385,Ulcerative Colitis
NCT100002386,Non-Small Cell Lung Cancer
NCT100002387,Type 2 Diabetes Mellitus
NCT100002388,HIV Infections
NCT100002389,Obesity
NCT100002390,Osteoarthritis
NCT100002391,Osteoarthritis
NCT100002392,HIV Infections
NCT100002393,Migraine
NCT100002394,Coronary Artery Disease
NCT100002395,Major Depressive Disorder
NCT100002396,Migraine
NCT100002397,Parkinson's Disease
NCT100002398,Non-Small Cell Lung Cancer
NCT100002399,Coronary Artery Disease
NCT100002400,Rheumatoid Arthritis
NCT100002401,Non-Small Cell Lung Cancer
NCT100002402,Migraine
NCT100002403,Psoriasis
NCT100002404,Schizophrenia
NCT100002405,Migraine
NCT100002406,Chronic Kidney Disease
NCT100002407,Chronic Obstructive Pulmonary Disease
NCT100002408,Alzheimer's Disease
NCT100002409,Type 2 Diabetes Mellitus
NCT100002410,Psoriasis
NCT100002411,Major Depressive Disorder
NCT100002412,Migraine
NCT100002413,Multiple Sclerosis
NCT100002414,Coronary Artery Disease
NCT100002415,Non-Small Cell Lung Cancer
NCT100002416,Coronary Artery Disease
NCT100002417,Rheumatoid Arthritis
NCT100002418,Multiple Sclerosis
NCT100002419,Coronary Artery Disease
NCT100002420,Migraine
NCT100002421,Chronic Kidney Disease
NCT100002422,Multiple Sclerosis
NCT100002423,Parkinson's Disease
NCT100002424,Osteoarthritis
NCT100002425,Osteoarthritis
NCT100002426,Rheumatoid Arthritis
NCT100002427,Obesity
NCT100002428,Chronic Obstructive Pulmonary Disease
NCT100002429,Ulcerative Colitis
NCT100002430,Coronary Artery Disease
NCT100002431,Parkinson's Disease
NCT100002432,Osteoarthritis
NCT100002433,Type 2 Diabetes Mellitus
NCT100002434,Rheumatoid Arthritis
NCT100002435,Breast Cancer
NCT100002436,Major Depressive Disorder
NCT100002437,Chronic Obstructive Pulmonary Disease
NCT100002438,Alzheimer's Disease
NCT100002439,Asthma
NCT100002440,Chronic Obstructive Pulmonary Disease
NCT100002441,Breast Cancer
NCT100002442,Alzheimer's Disease
NCT100002443,Non-Small Cell Lung Cancer
NCT100002444,Chronic Kidney Disease
NCT100002445,Psoriasis
NCT100002446,Coronary Artery Disease
NCT100002447,Coronary Artery Disease
NCT100002448,Osteoarthritis
NCT100002449,Breast Cancer
NCT100002450,Parkinson's Disease
NCT100002451,Non-Small Cell Lung Cancer
NCT100002452,Psoriasis
NCT100002453,Multiple Sclerosis
NCT100002454,Migraine
NCT100002455,Type 2 Diabetes Mellitus
NCT100002456,Migraine
NCT100002457,Type 2 Diabetes Mellitus
NCT100002458,HIV Infections
NCT100002459,Schizophrenia
NCT100002460,Migraine
NCT100002461,Chronic Obstructive Pulmonary Disease
NCT100002462,Non-Small Cell Lung Cancer
NCT100002463,Breast Cancer
NCT100002464,Asthma
NCT100002465,Coronary Artery Disease
NCT100002466,Chronic Obstructive Pulmonary Disease
NCT100002467,Hypertension
NCT100002468,Migraine
NCT100002469,Chronic Obstructive Pulmonary Disease
NCT100002470,Ulcerative Colitis
NCT100002471,Osteoarthritis
NCT100002472,Chronic Obstructive Pulmonary Disease
NCT100002473,Schizophrenia
NCT100002474,Coronary Artery Disease
NCT100002475,Rheumatoid Arthritis
NCT100002476,Chronic Kidney Disease
NCT100002477,Asthma
NCT100002478,Schizophrenia
NCT100002479,Migraine
NCT100002480,Parkinson's Disease
NCT100002481,Hypertension
NCT100002482,Multiple Sclerosis
NCT100002483,Breast Cancer
NCT100002484,Multiple Sclerosis
NCT100002485,Chronic Obstructive Pulmonary Disease
NCT100002486,Type 2 Diabetes Mellitus
NCT100002487,Ulcerative Colitis
NCT100002488,Rheumatoid Arthritis
NCT100002489,Hypertension
NCT100002490,Multiple Sclerosis
NCT100002491,Breast Cancer
NCT100002492,Psoriasis
NCT100002493,Alzheimer's Disease
NCT100002494,Type 2 Diabetes Mellitus
NCT100002495,Migraine
NCT100002496,Schizophrenia
NCT100002497,Ulcerative Colitis
NCT100002498,Non-Small Cell Lung Cancer
NCT100002499,Non-Small Cell Lung Cancer
NCT100002500,Alzheimer's Disease
NCT100002501,Chronic Kidney Disease
NCT100002502,Coronary Artery Disease
NCT100002503,Asthma
NCT100002504,Ulcerative Colitis
NCT100002505,Type 2 Diabetes Mellitus
NCT100002506,Psoriasis
NCT100002507,Psoriasis
NCT100002508,Hypertension
NCT100002509,Ulcerative Colitis
NCT100002510,Alzheimer's Disease
NCT100002511,Rheumatoid Arthritis
NCT100002512,Coronary Artery Disease
NCT100002513,Chronic Obstructive Pulmonary Disease
NCT100002514,Multiple Sclerosis
NCT100002515,Hypertension
NCT100002516,Schizophrenia
NCT100002517,Chronic Obstructive Pulmonary Disease
NCT100002518,Type 2 Diabetes Mellitus
NCT100002519,Multiple Sclerosis
NCT100002520,Ulcerative Colitis
NCT100002521,Multiple Sclerosis
NCT100002522,Breast Cancer
NCT100002523,Coronary Artery Disease
NCT100002524,Schizophrenia
NCT100002525,Schizophrenia
NCT100002526,Major Depressive Disorder
NCT100002527,Breast Cancer
NCT100002528,Asthma
NCT100002529,Multiple Sclerosis
NCT100002530,Coronary Artery Disease
NCT100002531,Multiple Sclerosis
NCT100002532,Major Depressive Disorder
NCT100002533,Chronic Obstructive Pulmonary Disease
NCT100002534,Breast Cancer
NCT100002535,Asthma
NCT100002536,Ulcerative Colitis
NCT100002537,Migraine
NCT100002538,Coronary Artery Disease
NCT100002539,Chronic Obstructive Pulmonary Disease
NCT100002540,Rheumatoid Arthritis
NCT100002541,Major Depressive Disorder
NCT100002542,Ulcerative Colitis
NCT100002543,Asthma
NCT100002544,Asthma
NCT100002545,Schizophrenia
NCT100002546,Schizophrenia
NCT100002547,Osteoarthritis
NCT100002548,Coronary Artery Disease
NCT100002549,Major Depressive Disorder
NCT100002550,Obesity
NCT100002551,Breast Cancer
NCT100002552,Breast Cancer
NCT100002553,Alzheimer's Disease
NCT100002554,Ulcerative Colitis
NCT100002555,Psoriasis
NCT100002556,Obesity
NCT100002557,Psoriasis
NCT100002558,Chronic Kidney Disease
NCT100002559,Parkinson's Disease
NCT100002560,Ulcerative Colitis
NCT100002561,Non-Small Cell Lung Cancer
NCT100002562,Non-Small Cell Lung Cancer
NCT100002563,Breast Cancer
NCT100002564,Type 2 Diabetes Mellitus
NCT100002565,Chronic Obstructive Pulmonary Disease
NCT100002566,Hypertension
NCT100002567,Schizophrenia
NCT100002568,Ulcerative Colitis
NCT100002569,Psoriasis
NCT100002570,Schizophrenia
NCT100002571,Chronic Kidney Disease
NCT100002572,Parkinson's Disease
NCT100002573,Schizophrenia
NCT100002574,Non-Small Cell Lung Cancer
NCT100002575,Multiple Sclerosis
NCT100002576,Hypertension
NCT100002577,Hypertension
NCT100002578,Multiple Sclerosis
NCT100002579,Chronic Obstructive Pulmonary Disease
NCT100002580,Type 2 Diabetes Mellitus
NCT100002581,Chronic Kidney Disease
NCT100002582,Type 2 Diabetes Mellitus
NCT100002583,Migraine
NCT100002584,Asthma
NCT100002585,Osteoarthritis
NCT100002586,Obesity
NCT100002587,Alzheimer's Disease
NCT100002588,Ulcerative Colitis
NCT100002589,HIV Infections
NCT100002590,Obesity
NCT100002591,Chronic Kidney Disease
NCT100002592,Breast Cancer
NCT100002593,Asthma
