nct_id,study_type,phase,overall_status,enrollment,start_date,completion_date,sponsor_type,sponsor_name,primary_condition,duration_days
NCT100000992,Interventional,Phase 2,Completed,43,2017-08-03,2019-12-12,Other,Other Sponsor #304,Ulcerative Colitis,861
NCT100000993,Interventional,Phase 2,Completed,74,2025-08-11,2025-12-31,Industry,Industry Sponsor #157,Non-Small Cell Lung Cancer,142
NCT100000994,Interventional,Phase 1,Completed,14,2012-02-14,2013-12-28,Industry,Industry Sponsor #25,Coronary Artery Disease,683
NCT100000995,Interventional,Phase 2,Unknown status,256,2012-01-13,,Industry,Industry Sponsor #365,Asthma,
NCT100000996,Interventional,Phase 4,Withdrawn,113,2018-11-07,2019-10-23,Other,Other Sponsor #342,Asthma,350
NCT100000997,Interventional,Phase 1,Terminated,55,2018-09-27,2019-07-14,Other,Other Sponsor #226,Asthma,290
NCT100000998,Interventional,Phase 1,Recruiting,58,2020-11-18,,Other,Other Sponsor #177,HIV Infections,
NCT100000999,Interventional,Phase 2,Completed,67,2018-09-01,2021-04-23,Industry,Industry Sponsor #13,Parkinson's Disease,965
NCT100001000,Interventional,Phase 3,Unknown status,35,2020-04-19,,Other,Other Sponsor #80,Migraine,
NCT100001001,Interventional,Phase 4,Withdrawn,626,2011-11-10,2013-03-05,Industry,Industry Sponsor #243,Osteoarthritis,481
NCT100001002,Interventional,Phase 3,"Active, not recruiting",75,2020-11-19,,Other,Other Sponsor #174,Parkinson's Disease,
NCT100001003,Interventional,Phase 1,Completed,124,2013-04-24,2014-10-30,NIH,NIH Sponsor #206,Alzheimer's Disease,554
NCT100001004,Interventional,Phase 2,Terminated,232,2024-11-11,2025-06-25,Industry,Industry Sponsor #100,Alzheimer's Disease,226
NCT100001005,Interventional,Phase 3,Completed,25,2025-10-07,2025-12-31,Other,Other Sponsor #43,HIV Infections,85
NCT100001006,Interventional,Phase 3,Unknown status,50,2015-11-01,,Other,Other Sponsor #202,Multiple Sclerosis,
NCT100001007,Interventional,Phase 2,Completed,115,2019-12-11,2021-08-14,Industry,Industry Sponsor #342,Rheumatoid Arthritis,612
NCT100001008,Interventional,Phase 3,Completed,93,2016-06-18,2018-10-07,Industry,Industry Sponsor #7,Psoriasis,841
NCT100001009,Interventional,Phase 2,Terminated,67,2022-05-07,2022-10-24,Industry,Industry Sponsor #111,HIV Infections,170
NCT100001010,Interventional,Phase 3,Recruiting,89,2019-05-22,,Industry,Industry Sponsor #218,Obesity,
NCT100001011,Interventional,Phase 3,Completed,140,2011-07-12,2013-10-31,NIH,NIH Sponsor #156,Ulcerative Colitis,842
NCT100001012,Interventional,Phase 4,Unknown status,116,2024-07-13,,Industry,Industry Sponsor #388,Breast Cancer,
NCT100001013,Interventional,Phase 2,Completed,571,2022-11-16,2024-09-10,Other,Other Sponsor #285,Osteoarthritis,664
NCT100001014,Interventional,Phase 3,Completed,87,2015-04-28,2017-06-26,Industry,Industry Sponsor #196,Parkinson's Disease,790
NCT100001015,Interventional,Phase 1,"Active, not recruiting",14,2015-07-09,,Other,Other Sponsor #156,HIV Infections,
NCT100001016,Interventional,Phase 1,Completed,20,2025-07-01,2026-12-13,Other,Other Sponsor #154,Parkinson's Disease,530
NCT100001017,Interventional,Phase 2,Recruiting,31,2017-02-21,,Industry,Industry Sponsor #126,Non-Small Cell Lung Cancer,
NCT100001018,Interventional,Phase 2,Terminated,5,2017-06-26,2018-03-12,Other,Other Sponsor #186,Osteoarthritis,259
NCT100001019,Interventional,Phase 2,Withdrawn,39,2019-06-19,2020-11-27,Industry,Industry Sponsor #356,Psoriasis,527
NCT100001020,Interventional,Phase 3,Completed,203,2019-06-12,2023-07-25,Industry,Industry Sponsor #298,Multiple Sclerosis,1504
NCT100001021,Interventional,Phase 2,Completed,7,2018-06-23,2020-09-12,Other,Other Sponsor #28,Obesity,812
NCT100001022,Interventional,Phase 3,Completed,64,2020-02-24,2022-05-27,Other,Other Sponsor #150,Hypertension,823
NCT100001023,Interventional,Phase 2,Completed,63,2022-05-16,2025-06-09,Other,Other Sponsor #49,Asthma,1120
NCT100001024,Interventional,Phase 2,"Active, not recruiting",55,2019-07-23,,Other,Other Sponsor #351,Non-Small Cell Lung Cancer,
NCT100001025,Interventional,Phase 1,"Active, not recruiting",253,2020-09-02,,NIH,NIH Sponsor #7,Coronary Artery Disease,
NCT100001026,Interventional,Phase 2,Completed,2290,2019-07-04,2022-01-19,Industry,Industry Sponsor #84,Rheumatoid Arthritis,930
NCT100001027,Interventional,Phase 2,Recruiting,570,2015-03-04,,Other,Other Sponsor #287,Ulcerative Colitis,
NCT100001028,Interventional,Phase 3,Recruiting,7,2021-08-10,,Other,Other Sponsor #214,Hypertension,
NCT100001029,Interventional,Phase 1,Completed,60,2025-07-26,2025-12-31,Industry,Industry Sponsor #179,Psoriasis,158
NCT100001030,Interventional,Phase 1,Unknown status,42,2013-08-01,,Industry,Industry Sponsor #268,Multiple Sclerosis,
NCT100001031,Interventional,Phase 3,Recruiting,64,2022-06-24,,Industry,Industry Sponsor #114,Rheumatoid Arthritis,
NCT100001032,Interventional,Phase 3,Completed,879,2024-01-09,2026-07-22,Industry,Industry Sponsor #41,Major Depressive Disorder,925
NCT100001033,Interventional,Phase 1,Recruiting,217,2017-06-26,,Other,Other Sponsor #22,Type 2 Diabetes Mellitus,
NCT100001034,Interventional,Phase 3,Completed,55,2013-04-21,2016-08-25,Industry,Industry Sponsor #61,Type 2 Diabetes Mellitus,1222
NCT100001035,Interventional,Phase 3,Recruiting,7,2011-04-01,,Other,Other Sponsor #309,Chronic Obstructive Pulmonary Disease,
NCT100001036,Interventional,Phase 1,Completed,838,2013-06-19,2016-02-25,Industry,Industry Sponsor #383,Osteoarthritis,981
NCT100001037,Interventional,Phase 1,Recruiting,118,2019-11-18,,Industry,Industry Sponsor #124,Hypertension,
NCT100001038,Interventional,Phase 1,Completed,44,2015-07-22,2018-04-16,NIH,NIH Sponsor #112,Coronary Artery Disease,999
NCT100001039,Interventional,Phase 4,Unknown status,19,2014-05-18,,Industry,Industry Sponsor #51,Ulcerative Colitis,
NCT100001040,Interventional,Phase 3,Withdrawn,158,2018-01-23,2020-06-03,Industry,Industry Sponsor #55,Psoriasis,862
NCT100001041,Interventional,Phase 4,Completed,461,2023-10-12,2026-12-02,Industry,Industry Sponsor #209,Multiple Sclerosis,1147
NCT100001042,Interventional,Phase 1,Completed,317,2018-10-15,2021-04-27,Industry,Industry Sponsor #391,Coronary Artery Disease,925
NCT100001043,Interventional,Phase 2,Completed,7,2024-11-19,2026-12-24,Industry,Industry Sponsor #60,HIV Infections,765
NCT100001044,Interventional,Phase 2,Unknown status,50,2018-07-23,,Industry,Industry Sponsor #228,Obesity,
NCT100001045,Interventional,Phase 2,Completed,184,2013-10-07,2017-03-20,Other,Other Sponsor #36,Parkinson's Disease,1260
NCT100001046,Interventional,Phase 1,Terminated,136,2018-03-30,2019-03-02,Other,Other Sponsor #54,Ulcerative Colitis,337
NCT100001047,Interventional,Phase 3,Completed,22,2013-02-08,2015-01-06,Industry,Industry Sponsor #206,Major Depressive Disorder,697
NCT100001048,Interventional,Phase 1,Completed,330,2016-10-21,2018-11-12,Other,Other Sponsor #305,Chronic Kidney Disease,752
NCT100001049,Interventional,Phase 1,Terminated,68,2012-02-08,2013-03-12,Industry,Industry Sponsor #392,Osteoarthritis,398
NCT100001050,Interventional,Phase 1,Recruiting,120,2021-11-01,,Other,Other Sponsor #205,Schizophrenia,
NCT100001051,Interventional,Phase 4,Completed,66,2023-01-04,2026-12-08,Other,Other Sponsor #76,Major Depressive Disorder,1434
NCT100001052,Interventional,Phase 1,Withdrawn,168,2015-05-22,2015-11-13,Industry,Industry Sponsor #69,Type 2 Diabetes Mellitus,175
NCT100001053,Interventional,Phase 3,Completed,43,2012-04-20,2015-10-01,Industry,Industry Sponsor #92,Multiple Sclerosis,1259
NCT100001054,Interventional,Phase 1,Completed,85,2024-03-29,2026-02-12,Other,Other Sponsor #40,Ulcerative Colitis,685
NCT100001055,Interventional,Phase 3,Terminated,91,2012-12-13,2014-04-12,Industry,Industry Sponsor #252,Migraine,485
NCT100001056,Interventional,Phase 2,Terminated,36,2011-01-22,2011-07-08,Other,Other Sponsor #392,Obesity,167
NCT100001057,Interventional,Phase 4,Completed,140,2014-05-21,2015-12-15,Industry,Industry Sponsor #193,Type 2 Diabetes Mellitus,573
NCT100001058,Interventional,Phase 1,"Active, not recruiting",496,2024-05-08,,NIH,NIH Sponsor #156,Asthma,
NCT100001059,Interventional,Phase 2,Completed,404,2021-06-01,2023-12-11,Industry,Industry Sponsor #392,Parkinson's Disease,923
NCT100001060,Interventional,Phase 3,Terminated,176,2025-06-18,2026-05-07,Other,Other Sponsor #244,Asthma,323
NCT100001061,Interventional,Phase 2,Completed,110,2023-07-13,2026-01-21,Industry,Industry Sponsor #194,Psoriasis,923
NCT100001062,Interventional,Phase 2,Completed,66,2021-01-31,2022-11-30,Industry,Industry Sponsor #188,Osteoarthritis,668
NCT100001063,Interventional,Phase 1,Completed,21,2025-06-23,2025-12-31,Other,Other Sponsor #50,Psoriasis,191
NCT100001064,Interventional,Phase 2,Completed,295,2011-12-05,2013-04-06,Industry,Industry Sponsor #121,Osteoarthritis,488
NCT100001065,Interventional,Phase 4,Completed,70,2019-01-06,2021-09-03,Industry,Industry Sponsor #173,Migraine,971
NCT100001066,Interventional,Phase 2,"Active, not recruiting",205,2013-08-24,,Industry,Industry Sponsor #291,Obesity,
NCT100001067,Interventional,Phase 1,Withdrawn,11,2022-05-03,2023-01-28,Other,Other Sponsor #163,Chronic Kidney Disease,270
NCT100001068,Interventional,Phase 2,Completed,205,2023-11-20,2025-06-07,Industry,Industry Sponsor #354,Multiple Sclerosis,565
NCT100001069,Interventional,Phase 2,Completed,135,2014-01-17,2016-12-15,Other,Other Sponsor #315,Obesity,1063
NCT100001070,Interventional,Phase 1,Unknown status,51,2017-04-03,,Other,Other Sponsor #39,Migraine,
NCT100001071,Interventional,Phase 2,Unknown status,10,2011-11-10,,Industry,Industry Sponsor #206,Schizophrenia,
NCT100001072,Interventional,Phase 3,Terminated,77,2024-08-15,2025-11-24,NIH,NIH Sponsor #140,Ulcerative Colitis,466
NCT100001073,Interventional,Phase 2,Recruiting,955,2017-04-18,,Industry,Industry Sponsor #334,Ulcerative Colitis,
NCT100001074,Interventional,Phase 2,Completed,83,2012-12-05,2015-06-03,Industry,Industry Sponsor #206,Ulcerative Colitis,910
NCT100001075,Interventional,Phase 2,Completed,70,2020-02-29,2021-11-27,Other,Other Sponsor #10,Ulcerative Colitis,637
NCT100001076,Interventional,Phase 2,Unknown status,423,2024-03-04,,Industry,Industry Sponsor #381,Non-Small Cell Lung Cancer,
NCT100001077,Interventional,Phase 4,Completed,95,2019-07-28,2021-08-24,Other,Other Sponsor #103,Rheumatoid Arthritis,758
NCT100001078,Interventional,Phase 1,Recruiting,26,2013-07-25,,Other,Other Sponsor #223,Hypertension,
NCT100001079,Interventional,Phase 3,Completed,312,2018-04-22,2021-08-23,Other,Other Sponsor #147,Non-Small Cell Lung Cancer,1219
NCT100001080,Interventional,Phase 2,Completed,481,2025-04-13,2025-12-31,Industry,Industry Sponsor #126,Coronary Artery Disease,262
NCT100001081,Interventional,Phase 2,Completed,342,2020-01-02,2022-12-01,Other,Other Sponsor #19,Non-Small Cell Lung Cancer,1064
NCT100001082,Interventional,Phase 1,Recruiting,37,2017-05-09,,Industry,Industry Sponsor #338,Type 2 Diabetes Mellitus,
NCT100001083,Interventional,Phase 4,Completed,52,2011-09-17,2013-01-28,Industry,Industry Sponsor #43,Coronary Artery Disease,499
NCT100001084,Interventional,Phase 4,Completed,22,2021-04-06,2023-11-14,Other,Other Sponsor #187,Hypertension,952
NCT100001085,Interventional,Phase 4,Completed,24,2021-01-18,2022-10-31,Other,Other Sponsor #58,Ulcerative Colitis,651
NCT100001086,Interventional,Phase 4,Recruiting,920,2022-05-17,,Industry,Industry Sponsor #397,Non-Small Cell Lung Cancer,
NCT100001087,Interventional,Phase 1,Recruiting,31,2022-04-25,,Industry,Industry Sponsor #169,Chronic Kidney Disease,
NCT100001088,Interventional,Phase 4,Completed,185,2023-06-26,2026-06-03,Industry,Industry Sponsor #110,HIV Infections,1073
NCT100001089,Interventional,Phase 4,Completed,77,2018-02-16,2020-05-04,Industry,Industry Sponsor #359,Multiple Sclerosis,808
NCT100001090,Interventional,Phase 2,Completed,418,2017-06-20,2019-11-26,Industry,Industry Sponsor #75,Psoriasis,889
NCT100001091,Interventional,Phase 3,Unknown status,610,2014-09-25,,Industry,Industry Sponsor #311,Type 2 Diabetes Mellitus,
NCT100001092,Interventional,Phase 3,Completed,24,2022-05-09,2024-08-29,Other,Other Sponsor #283,Psoriasis,843
NCT100001093,Interventional,Phase 4,Completed,33,2019-09-08,2023-04-14,Other,Other Sponsor #122,Chronic Kidney Disease,1314
NCT100001094,Interventional,Phase 4,Unknown status,120,2021-11-14,,Industry,Industry Sponsor #131,Alzheimer's Disease,
NCT100001095,Interventional,Phase 2,Completed,134,2017-08-13,2020-05-18,Other,Other Sponsor #225,Obesity,1009
NCT100001096,Interventional,Phase 1,Recruiting,814,2018-08-29,,Industry,Industry Sponsor #252,Obesity,
NCT100001097,Interventional,Phase 4,Completed,90,2021-10-02,2024-02-06,Industry,Industry Sponsor #52,Non-Small Cell Lung Cancer,857
NCT100001098,Interventional,Phase 1,Recruiting,129,2014-01-02,,Industry,Industry Sponsor #281,HIV Infections,
NCT100001099,Interventional,Phase 3,Completed,7,2018-09-03,2021-03-06,Other,Other Sponsor #228,Rheumatoid Arthritis,915
NCT100001100,Interventional,Phase 2,Completed,64,2016-02-27,2018-10-19,Other,Other Sponsor #43,Alzheimer's Disease,965
NCT100001101,Interventional,Phase 2,"Active, not recruiting",5,2013-06-23,,Other,Other Sponsor #391,Schizophrenia,
NCT100001102,Interventional,Phase 3,Completed,643,2015-11-26,2017-10-06,Other,Other Sponsor #245,Rheumatoid Arthritis,680
NCT100001103,Interventional,Phase 1,Completed,67,2022-11-06,2024-07-09,NIH,NIH Sponsor #145,Obesity,611
NCT100001104,Interventional,Phase 2,Completed,53,2020-06-16,2022-01-27,Industry,Industry Sponsor #293,Breast Cancer,590
NCT100001105,Interventional,Phase 4,Terminated,93,2023-04-07,2026-02-12,Other,Other Sponsor #46,Chronic Obstructive Pulmonary Disease,1042
NCT100001106,Interventional,Phase 1,Withdrawn,53,2012-03-04,2012-07-02,NIH,NIH Sponsor #77,Psoriasis,120
NCT100001107,Interventional,Phase 1,Completed,20,2023-07-17,2025-03-05,NIH,NIH Sponsor #270,HIV Infections,597
NCT100001108,Interventional,Phase 3,Completed,21,2024-11-30,2025-12-31,Industry,Industry Sponsor #105,Non-Small Cell Lung Cancer,396
NCT100001109,Interventional,Phase 2,Completed,36,2021-06-21,2024-02-22,Industry,Industry Sponsor #106,Coronary Artery Disease,976
NCT100001110,Interventional,Phase 2,Completed,178,2013-04-20,2015-06-15,Industry,Industry Sponsor #149,Alzheimer's Disease,786
NCT100001111,Interventional,Phase 2,Completed,125,2022-09-03,2024-10-26,Other,Other Sponsor #6,Multiple Sclerosis,784
NCT100001112,Interventional,Phase 4,Completed,33,2014-02-05,2017-01-28,Industry,Industry Sponsor #197,Schizophrenia,1088
NCT100001113,Interventional,Phase 1,Completed,88,2013-05-12,2015-06-26,NIH,NIH Sponsor #121,Psoriasis,775
NCT100001114,Interventional,Phase 4,Unknown status,170,2022-12-21,,Other,Other Sponsor #307,Type 2 Diabetes Mellitus,
NCT100001115,Interventional,Phase 1,Completed,392,2013-01-23,2015-04-30,NIH,NIH Sponsor #203,Rheumatoid Arthritis,827
NCT100001116,Interventional,Phase 1,Completed,119,2016-11-07,2018-06-20,Industry,Industry Sponsor #253,HIV Infections,590
NCT100001117,Interventional,Phase 2,Completed,58,2023-08-12,2025-12-01,Industry,Industry Sponsor #60,Rheumatoid Arthritis,842
NCT100001118,Interventional,Phase 2,Completed,376,2011-06-20,2013-04-13,Other,Other Sponsor #185,Coronary Artery Disease,663
NCT100001119,Interventional,Phase 2,Completed,37,2015-12-01,2017-04-02,Industry,Industry Sponsor #378,Rheumatoid Arthritis,488
NCT100001120,Interventional,Phase 1,Completed,59,2020-04-24,2021-07-01,Industry,Industry Sponsor #19,Asthma,433
NCT100001121,Interventional,Phase 3,Unknown status,401,2017-08-06,,Industry,Industry Sponsor #254,Psoriasis,
NCT100001122,Interventional,Phase 4,Completed,25,2011-08-07,2013-10-22,NIH,NIH Sponsor #58,Rheumatoid Arthritis,807
NCT100001123,Interventional,Phase 2,Completed,50,2020-08-21,2022-10-01,Industry,Industry Sponsor #87,Non-Small Cell Lung Cancer,771
NCT100001124,Interventional,Phase 4,Terminated,5,2021-07-31,2022-05-07,NIH,NIH Sponsor #3,Osteoarthritis,280
NCT100001125,Interventional,Phase 1,Completed,114,2015-03-02,2017-03-17,Other,Other Sponsor #256,Multiple Sclerosis,746
NCT100001126,Interventional,Phase 2,Completed,95,2014-04-19,2017-05-07,Other,Other Sponsor #192,Major Depressive Disorder,1114
NCT100001127,Interventional,Phase 3,Completed,19,2012-03-22,2015-01-20,Industry,Industry Sponsor #363,HIV Infections,1034
NCT100001128,Interventional,Phase 2,Unknown status,30,2016-02-26,,Industry,Industry Sponsor #336,HIV Infections,
NCT100001129,Interventional,Phase 4,"Active, not recruiting",97,2015-11-11,,Other,Other Sponsor #292,Type 2 Diabetes Mellitus,
NCT100001130,Interventional,Phase 3,Recruiting,10,2014-11-10,,Industry,Industry Sponsor #381,Schizophrenia,
NCT100001131,Interventional,Phase 2,Completed,10,2018-01-02,2019-09-03,Industry,Industry Sponsor #395,Hypertension,609
NCT100001132,Interventional,Phase 3,Recruiting,22,2012-10-18,,Industry,Industry Sponsor #146,Rheumatoid Arthritis,
NCT100001133,Interventional,Phase 2,Recruiting,57,2017-03-08,,Other,Other Sponsor #159,Schizophrenia,
NCT100001134,Interventional,Phase 3,Completed,29,2025-04-17,2025-12-31,Other,Other Sponsor #251,Chronic Kidney Disease,258
NCT100001135,Interventional,Phase 2,Completed,159,2024-09-19,2026-02-21,NIH,NIH Sponsor #388,Psoriasis,520
NCT100001136,Interventional,Phase 2,Completed,13,2011-08-04,2013-03-15,Industry,Industry Sponsor #21,HIV Infections,589
NCT100001137,Interventional,Phase 3,Recruiting,36,2014-10-27,,Other,Other Sponsor #254,Ulcerative Colitis,
NCT100001138,Interventional,Phase 1,Completed,69,2020-12-12,2023-04-09,Industry,Industry Sponsor #245,Rheumatoid Arthritis,848
NCT100001139,Interventional,Phase 3,Completed,34,2020-04-19,2022-12-02,Industry,Industry Sponsor #219,Type 2 Diabetes Mellitus,957
NCT100001140,Interventional,Phase 2,Terminated,76,2013-11-19,2014-08-28,Other,Other Sponsor #262,Major Depressive Disorder,282
NCT100001141,Interventional,Phase 2,"Active, not recruiting",229,2018-12-15,,Other,Other Sponsor #182,Hypertension,
NCT100001142,Interventional,Phase 3,Recruiting,83,2023-03-12,,Industry,Industry Sponsor #237,Asthma,
NCT100001143,Interventional,Phase 3,Completed,541,2019-03-16,2021-06-29,Industry,Industry Sponsor #361,Osteoarthritis,836
NCT100001144,Interventional,Phase 3,Completed,50,2023-12-24,2026-04-30,Other,Other Sponsor #136,Asthma,858
NCT100001145,Interventional,Phase 1,Unknown status,240,2018-10-12,,Industry,Industry Sponsor #133,Major Depressive Disorder,
NCT100001146,Interventional,Phase 2,Completed,117,2020-11-27,2022-06-26,Industry,Industry Sponsor #88,HIV Infections,576
NCT100001147,Interventional,Phase 4,Terminated,43,2016-03-10,2016-11-09,Other,Other Sponsor #250,Schizophrenia,244
NCT100001148,Interventional,Phase 2,Recruiting,112,2019-01-18,,Other,Other Sponsor #203,Hypertension,
NCT100001149,Interventional,Phase 1,"Active, not recruiting",62,2013-01-30,,Industry,Industry Sponsor #357,Breast Cancer,
NCT100001150,Interventional,Phase 3,Completed,9,2018-12-21,2021-05-29,Other,Other Sponsor #321,Migraine,890
NCT100001151,Interventional,Phase 1,Completed,60,2018-06-16,2019-06-08,Other,Other Sponsor #217,Asthma,357
NCT100001152,Interventional,Phase 4,Completed,161,2018-06-19,2020-04-14,Other,Other Sponsor #249,HIV Infections,665
NCT100001153,Interventional,Phase 2,Terminated,18,2013-11-11,2014-08-15,Industry,Industry Sponsor #201,Breast Cancer,277
NCT100001154,Interventional,Phase 1,Terminated,12,2014-02-23,2014-12-16,Other,Other Sponsor #213,Osteoarthritis,296
NCT100001155,Interventional,Phase 4,Completed,22,2017-05-19,2020-04-22,Industry,Industry Sponsor #263,Schizophrenia,1069
NCT100001156,Interventional,Phase 4,"Active, not recruiting",6,2012-01-13,,Other,Other Sponsor #119,Ulcerative Colitis,
NCT100001157,Interventional,Phase 2,Completed,145,2025-11-01,2025-12-31,Industry,Industry Sponsor #332,Parkinson's Disease,60
NCT100001158,Interventional,Phase 1,Recruiting,55,2015-09-25,,Other,Other Sponsor #230,Breast Cancer,
NCT100001159,Interventional,Phase 2,Completed,51,2021-06-03,2022-12-17,Industry,Industry Sponsor #119,Osteoarthritis,562
NCT100001160,Interventional,Phase 4,Completed,56,2018-06-20,2020-02-17,Industry,Industry Sponsor #367,Rheumatoid Arthritis,607
NCT100001161,Interventional,Phase 3,Completed,126,2025-04-22,2025-12-31,Industry,Industry Sponsor #345,Psoriasis,253
NCT100001162,Interventional,Phase 3,Terminated,255,2012-02-23,2012-11-25,Other,Other Sponsor #145,Hypertension,276
NCT100001163,Interventional,Phase 1,Terminated,55,2018-05-27,2019-02-09,Industry,Industry Sponsor #52,Parkinson's Disease,258
NCT100001164,Interventional,Phase 1,Unknown status,8,2019-09-20,,NIH,NIH Sponsor #184,Psoriasis,
NCT100001165,Interventional,Phase 1,Terminated,14,2016-07-31,2017-09-08,Other,Other Sponsor #33,Major Depressive Disorder,404
NCT100001166,Interventional,Phase 2,Completed,705,2025-11-08,2025-12-31,Industry,Industry Sponsor #133,Psoriasis,53
NCT100001167,Interventional,Phase 1,Recruiting,192,2012-03-17,,Industry,Industry Sponsor #264,Major Depressive Disorder,
NCT100001168,Interventional,Phase 4,Completed,69,2014-07-26,2016-01-07,Industry,Industry Sponsor #387,Major Depressive Disorder,530
NCT100001169,Interventional,Phase 3,"Active, not recruiting",14,2016-02-04,,NIH,NIH Sponsor #53,Type 2 Diabetes Mellitus,
NCT100001170,Interventional,Phase 1,"Active, not recruiting",8,2021-09-27,,Other,Other Sponsor #186,Coronary Artery Disease,
NCT100001171,Interventional,Phase 3,Completed,1127,2023-10-11,2025-12-15,Other,Other Sponsor #51,Psoriasis,796
NCT100001172,Interventional,Phase 2,"Active, not recruiting",67,2018-06-06,,Industry,Industry Sponsor #225,Breast Cancer,
NCT100001173,Interventional,Phase 2,Completed,42,2013-06-04,2015-11-05,Industry,Industry Sponsor #191,Obesity,884
NCT100001174,Interventional,Phase 3,Recruiting,62,2024-12-11,,Industry,Industry Sponsor #272,Alzheimer's Disease,
NCT100001175,Interventional,Phase 1,Unknown status,193,2019-06-23,,Industry,Industry Sponsor #235,Ulcerative Colitis,
NCT100001176,Interventional,Phase 2,Recruiting,165,2014-10-04,,Other,Other Sponsor #265,Hypertension,
NCT100001177,Interventional,Phase 2,Completed,9,2012-04-25,2013-10-03,Other,Other Sponsor #202,Rheumatoid Arthritis,526
NCT100001178,Interventional,Phase 1,Recruiting,140,2015-09-21,,Other,Other Sponsor #339,Coronary Artery Disease,
NCT100001179,Interventional,Phase 2,Terminated,215,2022-12-12,2024-01-06,Other,Other Sponsor #156,Multiple Sclerosis,390
NCT100001180,Interventional,Phase 1,Terminated,154,2018-03-14,2019-01-13,Industry,Industry Sponsor #76,HIV Infections,305
NCT100001181,Interventional,Phase 4,Terminated,37,2020-08-08,2021-04-03,Other,Other Sponsor #227,Chronic Kidney Disease,238
NCT100001182,Interventional,Phase 4,Completed,84,2023-09-13,2025-12-31,Industry,Industry Sponsor #200,Rheumatoid Arthritis,840
NCT100001183,Interventional,Phase 4,Completed,85,2022-04-20,2024-03-02,Industry,Industry Sponsor #283,Multiple Sclerosis,682
NCT100001184,Interventional,Phase 3,Completed,56,2014-11-24,2017-06-01,Industry,Industry Sponsor #277,Alzheimer's Disease,920
NCT100001185,Interventional,Phase 3,Completed,278,2025-03-29,2025-12-31,Industry,Industry Sponsor #259,Type 2 Diabetes Mellitus,277
NCT100001186,Interventional,Phase 3,Completed,420,2023-06-03,2026-05-02,Industry,Industry Sponsor #64,Major Depressive Disorder,1064
NCT100001187,Interventional,Phase 2,Completed,20,2016-12-04,2018-07-27,NIH,NIH Sponsor #174,Osteoarthritis,600
NCT100001188,Interventional,Phase 3,Completed,27,2013-06-03,2015-01-21,Industry,Industry Sponsor #342,Osteoarthritis,597
NCT100001189,Interventional,Phase 3,Completed,636,2015-03-22,2017-04-14,Industry,Industry Sponsor #168,Chronic Obstructive Pulmonary Disease,754
NCT100001190,Interventional,Phase 3,Completed,67,2016-11-22,2020-01-05,Industry,Industry Sponsor #365,Obesity,1139
NCT100001191,Interventional,Phase 1,"Active, not recruiting",67,2011-06-09,,Industry,Industry Sponsor #244,Hypertension,
NCT100001192,Interventional,Phase 2,Terminated,18,2020-09-26,2021-05-10,Industry,Industry Sponsor #266,Non-Small Cell Lung Cancer,226
NCT100001193,Interventional,Phase 2,Completed,149,2016-07-16,2019-11-13,Industry,Industry Sponsor #251,Obesity,1215
NCT100001194,Interventional,Phase 1,Recruiting,27,2019-02-06,,Industry,Industry Sponsor #67,Ulcerative Colitis,
NCT100001195,Interventional,Phase 3,Completed,40,2019-02-02,2022-01-29,Industry,Industry Sponsor #81,Psoriasis,1092
NCT100001196,Interventional,Phase 1,Completed,67,2012-07-07,2014-03-07,Industry,Industry Sponsor #268,Psoriasis,608
NCT100001197,Interventional,Phase 2,Completed,252,2014-04-16,2016-10-02,Industry,Industry Sponsor #15,Rheumatoid Arthritis,900
NCT100001198,Interventional,Phase 2,Completed,37,2021-04-20,2023-05-02,Other,Other Sponsor #146,Parkinson's Disease,742
NCT100001199,Interventional,Phase 1,Completed,344,2019-05-25,2021-10-07,Industry,Industry Sponsor #23,Osteoarthritis,866
NCT100001200,Interventional,Phase 2,Completed,652,2021-09-05,2024-01-23,Industry,Industry Sponsor #194,Schizophrenia,870
NCT100001201,Interventional,Phase 1,Withdrawn,273,2015-10-28,2016-07-04,Industry,Industry Sponsor #390,HIV Infections,250
NCT100001202,Interventional,Phase 1,Completed,85,2022-07-08,2023-10-29,Other,Other Sponsor #320,Obesity,478
NCT100001203,Interventional,Phase 1,Terminated,29,2015-10-08,2016-05-07,Industry,Industry Sponsor #344,Non-Small Cell Lung Cancer,212
NCT100001204,Interventional,Phase 4,Completed,69,2024-04-21,2025-12-02,Other,Other Sponsor #396,Migraine,590
NCT100001205,Interventional,Phase 3,Unknown status,178,2018-10-12,,Industry,Industry Sponsor #278,Type 2 Diabetes Mellitus,
NCT100001206,Interventional,Phase 4,Recruiting,108,2022-12-22,,Industry,Industry Sponsor #258,Major Depressive Disorder,
NCT100001207,Interventional,Phase 1,Recruiting,88,2021-12-19,,Industry,Industry Sponsor #126,Osteoarthritis,
NCT100001208,Interventional,Phase 1,Completed,73,2017-05-30,2019-07-27,Industry,Industry Sponsor #302,Breast Cancer,788
NCT100001209,Interventional,Phase 2,Completed,17,2018-07-18,2020-03-15,Industry,Industry Sponsor #271,Non-Small Cell Lung Cancer,606
NCT100001210,Interventional,Phase 1,Terminated,26,2016-11-09,2017-08-05,Other,Other Sponsor #147,Non-Small Cell Lung Cancer,269
NCT100001211,Interventional,Phase 3,Unknown status,80,2018-02-11,,Industry,Industry Sponsor #348,Schizophrenia,
